time_unix,address,name,symbol,decimal,supply,num_holders,num_transactions,price_bnb,price_usd
1648363600.6494935,0x747DeECd8f34A9036dF50c8C6B9858621D226F05,Moonseer,Moon,18,888888888888000000000000000000,3334,2088,4.6844485209556464e-07,0.00019525143269029746
1648363603.4571676,0x26619FA1d4c957C58096bBbeCa6588dCFB12E109,TIME,TIME,18,100000000000000000000000000000,79332,112427,0.0006031363088057902,0.2513918722237213
1648363605.9507606,0x57b798d2252557f13A9148A075a72816f2707356,Ratscoin,RATS,0,1000000000000000,5916,5311,9.550503e-12,3.980723419888426e-09
